size,density,noise_level,negative_values,nx_avg,nx_sum,nx_min,nx_max,nx_count,nx_time_avg,bellman_ford_avg,bellman_ford_sum,bellman_ford_min,bellman_ford_max,bellman_ford_count,bellman_ford_time_avg
100,0.8,0.5,False,670.3391414141414,2654543.0,70.0,1301.0,3960,0.002041562499653082,670.3391414141414,2654543.0,70.0,1301.0,3960,0.014417067497925018
100,0.8,0.5,True,,,,,0,0.00037787749970448204,,,,,0,0.3174164525004016
100,0.8,0.8,False,756.1835858585858,2994487.0,46.0,1411.0,3960,0.0021186250007303896,756.1835858585858,2994487.0,46.0,1411.0,3960,0.014735894999830634
100,0.8,0.8,True,,,,,0,0.0006465999995270977,,,,,0,0.4980665799979761
100,1.0,0.0,False,511.64141414141415,2026100.0,4.0,1183.0,3960,0.0037973250004142757,511.64141414141415,2026100.0,4.0,1183.0,3960,0.0221682650011644
100,1.0,0.0,True,503.8893939393939,1995402.0,13.0,1183.0,3960,0.003038549998018425,503.8893939393939,1995402.0,13.0,1183.0,3960,0.017642245000024558
100,1.0,0.1,False,559.1262626262626,2214140.0,38.0,1265.0,3960,0.003123595001306967,559.1262626262626,2214140.0,38.0,1265.0,3960,0.020681794999472914
100,1.0,0.1,True,,,,,0,0.0008469075008179061,,,,,0,0.3910048300007475
100,1.0,0.5,False,649.1545454545454,2570652.0,54.0,1348.0,3960,0.002790434997950797,649.1545454545454,2570652.0,54.0,1348.0,3960,0.01878703249785758
100,1.0,0.5,True,,,,,0,0.0005237174987996696,,,,,0,0.5376464875007514
100,1.0,0.8,False,697.8116161616161,2763334.0,89.0,1385.0,3960,0.0028386024994688343,697.8116161616161,2763334.0,89.0,1385.0,3960,0.01931920000097307
100,1.0,0.8,True,,,,,0,0.00036866999980702533,,,,,0,0.44447804000010366
200,0.2,0.0,False,544.7666331658291,5420428.0,11.0,1233.0,9950,0.0029036559996893628,544.7666331658291,5420428.0,11.0,1233.0,9950,0.020096297999843957
200,0.2,0.0,True,587.1029145728643,5841674.0,13.0,1242.0,9950,0.0031917000003159044,587.1029145728643,5841674.0,13.0,1242.0,9950,0.01973798600025475
200,0.2,0.1,False,654.1722613065326,6509014.0,51.0,1302.0,9950,0.003485226000484545,654.1722613065326,6509014.0,51.0,1302.0,9950,0.02388058199954685
200,0.2,0.1,True,,,,,0,0.004727735998458229,,,,,0,1.1826900940007181
200,0.2,0.5,False,919.683216080402,9150848.0,60.0,1535.0,9950,0.004832951998978387,919.683216080402,9150848.0,60.0,1535.0,9950,0.032862145999388304
200,0.2,0.5,True,,,,,0,0.0009199499999522231,,,,,0,1.1864905000000727
200,0.2,0.8,False,1013.8196984924623,10087506.0,49.0,1714.0,9950,0.004225514000281692,1013.8196984924623,10087506.0,49.0,1714.0,9950,0.03041316600108985
200,0.2,0.8,True,,,,,0,0.0010603319996153006,,,,,0,1.2683348779985681
200,0.5,0.0,False,513.1874371859296,5106215.0,13.0,1242.0,9950,0.010636454000195954,513.1874371859296,5106215.0,13.0,1242.0,9950,0.07540588200034108
200,0.5,0.0,True,527.2607035175879,5246244.0,11.0,1197.0,9950,0.00999868599959882,527.2607035175879,5246244.0,11.0,1197.0,9950,0.0629187739995541
200,0.5,0.1,False,589.053567839196,5861083.0,26.0,1298.0,9950,0.01014965799957281,589.053567839196,5861083.0,26.0,1298.0,9950,0.06744868400041014
200,0.5,0.1,True,,,,,0,0.004255111998645589,,,,,0,2.7750008040005922
200,0.5,0.5,False,693.689648241206,6902212.0,46.0,1448.0,9950,0.010450096000276972,693.689648241206,6902212.0,46.0,1448.0,9950,0.0747023340006126
200,0.5,0.5,True,,,,,0,0.0011593780005932787,,,,,0,2.702252905999194
200,0.5,0.8,False,804.93608040201,8009114.0,50.0,1499.0,9950,0.008640617999481038,804.93608040201,8009114.0,50.0,1499.0,9950,0.06543359399802284
200,0.5,0.8,True,,,,,0,0.0005020039988448843,,,,,0,1.5707518599991455
200,0.8,0.0,False,508.42341708542716,5058813.0,4.0,1233.0,9950,0.007870761999220122,508.42341708542716,5058813.0,4.0,1233.0,9950,0.051428717997914646
200,0.8,0.0,True,523.063216080402,5204479.0,13.0,1208.0,9950,0.007800444001040887,523.063216080402,5204479.0,13.0,1208.0,9950,0.051194130000367294
200,0.8,0.1,False,546.5930653266331,5438601.0,25.0,1213.0,9950,0.008061345998139586,546.5930653266331,5438601.0,25.0,1213.0,9950,0.0567494620004436
200,0.8,0.1,True,,,,,0,0.004394007999217138,,,,,0,4.008369817999192
200,0.8,0.5,False,672.4850251256281,6691226.0,56.0,1357.0,9950,0.016674789999960922,672.4850251256281,6691226.0,56.0,1357.0,9950,0.11739085200126283
200,0.8,0.5,True,,,,,0,0.0009896500007016585,,,,,0,3.4617858500010334
200,0.8,0.8,False,710.2908542713568,7067394.0,43.0,1311.0,9950,0.00804335999826435,710.2908542713568,7067394.0,43.0,1311.0,9950,0.059913708000676705
200,0.8,0.8,True,,,,,0,0.0006493360013701022,,,,,0,2.8327712839999
200,1.0,0.0,False,514.4728643216081,5119005.0,13.0,1221.0,9950,0.010087970000458881,514.4728643216081,5119005.0,13.0,1221.0,9950,0.07001104199967813
200,1.0,0.0,True,518.8490452261307,5162548.0,10.0,1242.0,9950,0.010537177999212872,518.8490452261307,5162548.0,10.0,1242.0,9950,0.06994593600131338
200,1.0,0.1,False,542.5298492462312,5398172.0,26.0,1255.0,9950,0.010267780001158825,542.5298492462312,5398172.0,26.0,1255.0,9950,0.07458202000008896
200,1.0,0.1,True,,,,,0,0.0033352060013567097,,,,,0,3.729502570001641
200,1.0,0.5,False,632.5721608040201,6294093.0,27.0,1308.0,9950,0.013389783999882639,632.5721608040201,6294093.0,27.0,1308.0,9950,0.09678761800052599
200,1.0,0.5,True,,,,,0,0.0010186980006983504,,,,,0,5.974543500000728
200,1.0,0.8,False,663.6576884422111,6603394.0,51.0,1379.0,9950,0.01982533000089461,663.6576884422111,6603394.0,51.0,1379.0,9950,0.14699717999785208
200,1.0,0.8,True,,,,,0,0.0008186540007591248,,,,,0,6.267351308000216
